modelName,modelPath,sourceLanguages,targetLanguages,sourceLanguage,targetLanguage,modelURL,description,prependTargetLanguage
opus-mt-tvl-fr,Helsinki-NLP/opus-mt-tvl-fr,tvl,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-tvl-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/tvl-fr/README.md",opus-mt-tvl-fr NMT model.,False
opus-mt-tvl-sv,Helsinki-NLP/opus-mt-tvl-sv,tvl,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-tvl-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/tvl-sv/README.md",opus-mt-tvl-sv NMT model.,False
opus-mt-tw-es,Helsinki-NLP/opus-mt-tw-es,tw,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-tw-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/tw-es/README.md",opus-mt-tw-es NMT model.,False
opus-mt-tw-fi,Helsinki-NLP/opus-mt-tw-fi,tw,fi,,,"https://huggingface.co/Helsinki-NLP/opus-mt-tw-fi, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/tw-fi/README.md",opus-mt-tw-fi NMT model.,False
opus-mt-tw-fr,Helsinki-NLP/opus-mt-tw-fr,tw,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-tw-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/tw-fr/README.md",opus-mt-tw-fr NMT model.,False
opus-mt-tw-sv,Helsinki-NLP/opus-mt-tw-sv,tw,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-tw-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/tw-sv/README.md",opus-mt-tw-sv NMT model.,False
opus-mt-ty-es,Helsinki-NLP/opus-mt-ty-es,ty,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ty-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ty-es/README.md",opus-mt-ty-es NMT model.,False
opus-mt-ty-fi,Helsinki-NLP/opus-mt-ty-fi,ty,fi,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ty-fi, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ty-fi/README.md",opus-mt-ty-fi NMT model.,False
opus-mt-ty-fr,Helsinki-NLP/opus-mt-ty-fr,ty,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ty-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ty-fr/README.md",opus-mt-ty-fr NMT model.,False
opus-mt-ty-sv,Helsinki-NLP/opus-mt-ty-sv,ty,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ty-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ty-sv/README.md",opus-mt-ty-sv NMT model.,False
opus-mt-tzo-es,Helsinki-NLP/opus-mt-tzo-es,tzo,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-tzo-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/tzo-es/README.md",opus-mt-tzo-es NMT model.,False
opus-mt-uk-bg,Helsinki-NLP/opus-mt-uk-bg,ukr,bul,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-bg, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-bul/README.md","ukr-bul, source group: Ukrainian, target group: Bulgarian NMT model.",False
opus-mt-uk-ca,Helsinki-NLP/opus-mt-uk-ca,ukr,cat,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-ca, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-cat/README.md","ukr-cat, source group: Ukrainian, target group: Catalan NMT model.",False
opus-mt-uk-cs,Helsinki-NLP/opus-mt-uk-cs,ukr,ces,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-cs, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-ces/README.md","ukr-ces, source group: Ukrainian, target group: Czech NMT model.",False
opus-mt-uk-de,Helsinki-NLP/opus-mt-uk-de,ukr,deu,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-de, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-deu/README.md","ukr-deu, source group: Ukrainian, target group: German NMT model.",False
opus-mt-uk-en,Helsinki-NLP/opus-mt-uk-en,uk,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/uk-en/README.md",opus-mt-uk-en NMT model.,False
opus-mt-uk-es,Helsinki-NLP/opus-mt-uk-es,uk,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/uk-es/README.md",opus-mt-uk-es NMT model.,False
opus-mt-uk-fi,Helsinki-NLP/opus-mt-uk-fi,uk,fi,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-fi, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/uk-fi/README.md",opus-mt-uk-fi NMT model.,False
opus-mt-uk-fr,Helsinki-NLP/opus-mt-uk-fr,uk,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/uk-fr/README.md",opus-mt-uk-fr NMT model.,False
opus-mt-uk-he,Helsinki-NLP/opus-mt-uk-he,ukr,heb,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-he, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-heb/README.md","ukr-heb, source group: Ukrainian, target group: Hebrew NMT model.",False
opus-mt-uk-hu,Helsinki-NLP/opus-mt-uk-hu,ukr,hun,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-hu, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-hun/README.md","ukr-hun, source group: Ukrainian, target group: Hungarian NMT model.",False
opus-mt-uk-it,Helsinki-NLP/opus-mt-uk-it,ukr,ita,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-it, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-ita/README.md","ukr-ita, source group: Ukrainian, target group: Italian NMT model.",False
opus-mt-uk-nl,Helsinki-NLP/opus-mt-uk-nl,ukr,nld,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-nl, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-nld/README.md","ukr-nld, source group: Ukrainian, target group: Dutch NMT model.",False
opus-mt-uk-no,Helsinki-NLP/opus-mt-uk-no,ukr,nob,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-no, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-nor/README.md","ukr-nor, source group: Ukrainian, target group: Norwegian NMT model.",False
opus-mt-uk-pl,Helsinki-NLP/opus-mt-uk-pl,ukr,pol,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-pl, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-pol/README.md","ukr-pol, source group: Ukrainian, target group: Polish NMT model.",False
opus-mt-uk-pt,Helsinki-NLP/opus-mt-uk-pt,ukr,por,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-pt, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-por/README.md","ukr-por, source group: Ukrainian, target group: Portuguese NMT model.",False
opus-mt-uk-ru,Helsinki-NLP/opus-mt-uk-ru,ukr,rus,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-ru, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-rus/README.md","ukr-rus, source group: Ukrainian, target group: Russian NMT model.",False
opus-mt-uk-sh,Helsinki-NLP/opus-mt-uk-sh,ukr,hrv srp_Cyrl srp_Latn,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-sh, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-hbs/README.md","ukr-hbs, source group: Ukrainian, target group: Serbo-Croatian NMT model.",True
opus-mt-uk-sl,Helsinki-NLP/opus-mt-uk-sl,ukr,slv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-sl, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-slv/README.md","ukr-slv, source group: Ukrainian, target group: Slovenian NMT model.",False
opus-mt-uk-sv,Helsinki-NLP/opus-mt-uk-sv,uk,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/uk-sv/README.md",opus-mt-uk-sv NMT model.,False
opus-mt-uk-tr,Helsinki-NLP/opus-mt-uk-tr,ukr,tur,,,"https://huggingface.co/Helsinki-NLP/opus-mt-uk-tr, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ukr-tur/README.md","ukr-tur, source group: Ukrainian, target group: Turkish NMT model.",False
opus-mt-umb-en,Helsinki-NLP/opus-mt-umb-en,umb,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-umb-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/umb-en/README.md",opus-mt-umb-en NMT model.,False
opus-mt-ur-en,Helsinki-NLP/opus-mt-ur-en,urd,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ur-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/urd-eng/README.md","urd-eng, source group: Urdu, target group: English NMT model.",False
opus-mt-urj-en,Helsinki-NLP/opus-mt-urj-en,est fin fkv_Latn hun izh kpv krl liv_Latn mdf mhr myv sma sme udm vro,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-urj-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/urj-eng/README.md","urj-eng, source group: Uralic languages, target group: English NMT model.",False
opus-mt-urj-urj,Helsinki-NLP/opus-mt-urj-urj,est fin fkv_Latn hun izh krl liv_Latn vep vro,est fin fkv_Latn hun izh krl liv_Latn vep vro,,,"https://huggingface.co/Helsinki-NLP/opus-mt-urj-urj, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/urj-urj/README.md","urj-urj, source group: Uralic languages, target group: Uralic languages NMT model.",True
opus-mt-ve-en,Helsinki-NLP/opus-mt-ve-en,ve,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ve-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ve-en/README.md",opus-mt-ve-en NMT model.,False
opus-mt-ve-es,Helsinki-NLP/opus-mt-ve-es,ve,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ve-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ve-es/README.md",opus-mt-ve-es NMT model.,False
opus-mt-vi-de,Helsinki-NLP/opus-mt-vi-de,vie,deu,,,"https://huggingface.co/Helsinki-NLP/opus-mt-vi-de, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/vie-deu/README.md","vie-deu, source group: Vietnamese, target group: German NMT model.",False
opus-mt-vi-en,Helsinki-NLP/opus-mt-vi-en,vie vie_Hani,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-vi-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/vie-eng/README.md","vie-eng, source group: Vietnamese, target group: English NMT model.",False
opus-mt-vi-eo,Helsinki-NLP/opus-mt-vi-eo,vie,epo,,,"https://huggingface.co/Helsinki-NLP/opus-mt-vi-eo, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/vie-epo/README.md","vie-epo, source group: Vietnamese, target group: Esperanto NMT model.",False
opus-mt-vi-es,Helsinki-NLP/opus-mt-vi-es,vie,spa,,,"https://huggingface.co/Helsinki-NLP/opus-mt-vi-es, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/vie-spa/README.md","vie-spa, source group: Vietnamese, target group: Spanish NMT model.",False
opus-mt-vi-fr,Helsinki-NLP/opus-mt-vi-fr,vie,fra,,,"https://huggingface.co/Helsinki-NLP/opus-mt-vi-fr, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/vie-fra/README.md","vie-fra, source group: Vietnamese, target group: French NMT model.",False
opus-mt-vi-it,Helsinki-NLP/opus-mt-vi-it,vie,ita,,,"https://huggingface.co/Helsinki-NLP/opus-mt-vi-it, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/vie-ita/README.md","vie-ita, source group: Vietnamese, target group: Italian NMT model.",False
opus-mt-vi-ru,Helsinki-NLP/opus-mt-vi-ru,vie,rus,,,"https://huggingface.co/Helsinki-NLP/opus-mt-vi-ru, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/vie-rus/README.md","vie-rus, source group: Vietnamese, target group: Russian NMT model.",False
opus-mt-vsl-es,Helsinki-NLP/opus-mt-vsl-es,vsl,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-vsl-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/vsl-es/README.md",opus-mt-vsl-es NMT model.,False
opus-mt-wa-en,Helsinki-NLP/opus-mt-wa-en,wa,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-wa-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/wa-en/README.md",opus-mt-wa-en NMT model.,False
opus-mt-wal-en,Helsinki-NLP/opus-mt-wal-en,wal,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-wal-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/wal-en/README.md",opus-mt-wal-en NMT model.,False
opus-mt-war-en,Helsinki-NLP/opus-mt-war-en,war,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-war-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/war-eng/README.md","war-eng, source group: Waray (Philippines), target group: English NMT model.",False
opus-mt-war-es,Helsinki-NLP/opus-mt-war-es,war,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-war-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/war-es/README.md",opus-mt-war-es NMT model.,False
opus-mt-war-fi,Helsinki-NLP/opus-mt-war-fi,war,fi,,,"https://huggingface.co/Helsinki-NLP/opus-mt-war-fi, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/war-fi/README.md",opus-mt-war-fi NMT model.,False
opus-mt-war-fr,Helsinki-NLP/opus-mt-war-fr,war,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-war-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/war-fr/README.md",opus-mt-war-fr NMT model.,False
opus-mt-war-sv,Helsinki-NLP/opus-mt-war-sv,war,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-war-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/war-sv/README.md",opus-mt-war-sv NMT model.,False
opus-mt-wls-en,Helsinki-NLP/opus-mt-wls-en,wls,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-wls-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/wls-en/README.md",opus-mt-wls-en NMT model.,False
opus-mt-wls-fr,Helsinki-NLP/opus-mt-wls-fr,wls,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-wls-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/wls-fr/README.md",opus-mt-wls-fr NMT model.,False
opus-mt-wls-sv,Helsinki-NLP/opus-mt-wls-sv,wls,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-wls-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/wls-sv/README.md",opus-mt-wls-sv NMT model.,False
opus-mt-xh-en,Helsinki-NLP/opus-mt-xh-en,xh,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-xh-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/xh-en/README.md",opus-mt-xh-en NMT model.,False
opus-mt-xh-es,Helsinki-NLP/opus-mt-xh-es,xh,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-xh-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/xh-es/README.md",opus-mt-xh-es NMT model.,False
opus-mt-xh-fr,Helsinki-NLP/opus-mt-xh-fr,xh,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-xh-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/xh-fr/README.md",opus-mt-xh-fr NMT model.,False
opus-mt-xh-sv,Helsinki-NLP/opus-mt-xh-sv,xh,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-xh-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/xh-sv/README.md",opus-mt-xh-sv NMT model.,False
opus-mt-yap-en,Helsinki-NLP/opus-mt-yap-en,yap,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-yap-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/yap-en/README.md",opus-mt-yap-en NMT model.,False
opus-mt-yap-fr,Helsinki-NLP/opus-mt-yap-fr,yap,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-yap-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/yap-fr/README.md",opus-mt-yap-fr NMT model.,False
