modelName,modelPath,sourceLanguages,targetLanguages,sourceLanguage,targetLanguage,modelURL,description,prependTargetLanguage
opus-mt-NORTH_EU-NORTH_EU,Helsinki-NLP/opus-mt-NORTH_EU-NORTH_EU,de nl fy af da fo is no nb nn sv,de nl fy af da fo is no nb nn sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-NORTH_EU-NORTH_EU, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/de+nl+fy+af+da+fo+is+no+nb+nn+sv-de+nl+fy+af+da+fo+is+no+nb+nn+sv/README.md",opus-mt-NORTH_EU-NORTH_EU NMT model.,True
opus-mt-ROMANCE-en,Helsinki-NLP/opus-mt-ROMANCE-en,fr fr_BE fr_CA fr_FR wa frp oc ca rm lld fur lij lmo es es_AR es_CL es_CO es_CR es_DO es_EC es_ES es_GT es_HN es_MX es_NI es_PA es_PE es_PR es_SV es_UY es_VE pt pt_br pt_BR pt_PT gl lad an mwl it it_IT co nap scn vec sc ro la,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ROMANCE-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/fr+fr_BE+fr_CA+fr_FR+wa+frp+oc+ca+rm+lld+fur+lij+lmo+es+es_AR+es_CL+es_CO+es_CR+es_DO+es_EC+es_ES+es_GT+es_HN+es_MX+es_NI+es_PA+es_PE+es_PR+es_SV+es_UY+es_VE+pt+pt_br+pt_BR+pt_PT+gl+lad+an+mwl+it+it_IT+co+nap+scn+vec+sc+ro+la-en/README.md",opus-mt-ROMANCE-en NMT model.,False
opus-mt-SCANDINAVIA-SCANDINAVIA,Helsinki-NLP/opus-mt-SCANDINAVIA-SCANDINAVIA,da fo is no nb nn sv,da fo is no nb nn sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-SCANDINAVIA-SCANDINAVIA, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/da+fo+is+no+nb+nn+sv-da+fo+is+no+nb+nn+sv/README.md",opus-mt-SCANDINAVIA-SCANDINAVIA NMT model.,True
opus-mt-aav-en,Helsinki-NLP/opus-mt-aav-en,hoc hoc_Latn kha khm khm_Latn mnw vie vie_Hani,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-aav-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/aav-eng/README.md","aav-eng, source group: Austro-Asiatic languages, target group: English NMT model.",False
opus-mt-aed-es,Helsinki-NLP/opus-mt-aed-es,aed,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-aed-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/aed-es/README.md",opus-mt-aed-es NMT model.,False
opus-mt-af-de,Helsinki-NLP/opus-mt-af-de,af,de,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-de, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/af-de/README.md",opus-mt-af-de NMT model.,False
opus-mt-af-en,Helsinki-NLP/opus-mt-af-en,af,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/af-en/README.md",opus-mt-af-en NMT model.,False
opus-mt-af-eo,Helsinki-NLP/opus-mt-af-eo,afr,epo,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-eo, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/afr-epo/README.md","afr-epo, source group: Afrikaans, target group: Esperanto NMT model.",False
opus-mt-af-es,Helsinki-NLP/opus-mt-af-es,afr,spa,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-es, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/afr-spa/README.md","afr-spa, source group: Afrikaans, target group: Spanish NMT model.",False
opus-mt-af-fi,Helsinki-NLP/opus-mt-af-fi,af,fi,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-fi, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/af-fi/README.md",opus-mt-af-fi NMT model.,False
opus-mt-af-fr,Helsinki-NLP/opus-mt-af-fr,af,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/af-fr/README.md",opus-mt-af-fr NMT model.,False
opus-mt-af-nl,Helsinki-NLP/opus-mt-af-nl,afr,nld,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-nl, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/afr-nld/README.md","afr-nld, source group: Afrikaans, target group: Dutch NMT model.",False
opus-mt-af-ru,Helsinki-NLP/opus-mt-af-ru,afr,rus,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-ru, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/afr-rus/README.md","afr-rus, source group: Afrikaans, target group: Russian NMT model.",False
opus-mt-af-sv,Helsinki-NLP/opus-mt-af-sv,af,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/af-sv/README.md",opus-mt-af-sv NMT model.,False
opus-mt-afa-afa,Helsinki-NLP/opus-mt-afa-afa,apc ara arq arz heb kab mlt shy_Latn thv,apc ara arq arz heb kab mlt shy_Latn thv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-afa-afa, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/afa-afa/README.md","afa-afa, source group: Afro-Asiatic languages, target group: Afro-Asiatic languages NMT model.",True
opus-mt-afa-en,Helsinki-NLP/opus-mt-afa-en,acm afb amh apc ara arq ary arz hau_Latn heb kab mlt rif_Latn shy_Latn som tir,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-afa-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/afa-eng/README.md","afa-eng, source group: Afro-Asiatic languages, target group: English NMT model.",False
opus-mt-alv-en,Helsinki-NLP/opus-mt-alv-en,ewe fuc fuv ibo kin lin lug nya run sag sna swh toi_Latn tso umb wol xho yor zul,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-alv-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/alv-eng/README.md","alv-eng, source group: Atlantic-Congo languages, target group: English NMT model.",False
opus-mt-am-sv,Helsinki-NLP/opus-mt-am-sv,am,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-am-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/am-sv/README.md",opus-mt-am-sv NMT model.,False
opus-mt-ar-de,Helsinki-NLP/opus-mt-ar-de,afb apc ara ara_Latn arq arz,deu,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ar-de, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ara-deu/README.md","ara-deu, source group: Arabic, target group: German NMT model.",False
opus-mt-ar-el,Helsinki-NLP/opus-mt-ar-el,ara arz,ell,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ar-el, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ara-ell/README.md","ara-ell, source group: Arabic, target group: Modern Greek (1453-) NMT model.",False
opus-mt-ar-en,Helsinki-NLP/opus-mt-ar-en,ar,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ar-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ar-en/README.md",opus-mt-ar-en NMT model.,False
opus-mt-ar-eo,Helsinki-NLP/opus-mt-ar-eo,apc apc_Latn ara arq arq_Latn arz,epo,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ar-eo, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ara-epo/README.md","ara-epo, source group: Arabic, target group: Esperanto NMT model.",False
opus-mt-ar-es,Helsinki-NLP/opus-mt-ar-es,apc apc_Latn ara arq,spa,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ar-es, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ara-spa/README.md","ara-spa, source group: Arabic, target group: Spanish NMT model.",False
opus-mt-ar-fr,Helsinki-NLP/opus-mt-ar-fr,ar,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ar-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ar-fr/README.md",opus-mt-ar-fr NMT model.,False
opus-mt-ar-he,Helsinki-NLP/opus-mt-ar-he,apc apc_Latn ara arq arz,heb,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ar-he, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ara-heb/README.md","ara-heb, source group: Arabic, target group: Hebrew NMT model.",False
opus-mt-ar-it,Helsinki-NLP/opus-mt-ar-it,ara,ita,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ar-it, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ara-ita/README.md","ara-ita, source group: Arabic, target group: Italian NMT model.",False
opus-mt-ar-pl,Helsinki-NLP/opus-mt-ar-pl,ara arz,pol,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ar-pl, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ara-pol/README.md","ara-pol, source group: Arabic, target group: Polish NMT model.",False
opus-mt-ar-ru,Helsinki-NLP/opus-mt-ar-ru,apc ara arz,rus,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ar-ru, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ara-rus/README.md","ara-rus, source group: Arabic, target group: Russian NMT model.",False
opus-mt-ar-tr,Helsinki-NLP/opus-mt-ar-tr,apc_Latn ara ara_Latn arq_Latn,tur,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ar-tr, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ara-tur/README.md","ara-tur, source group: Arabic, target group: Turkish NMT model.",False
opus-mt-art-en,Helsinki-NLP/opus-mt-art-en,afh_Latn avk_Latn dws_Latn epo ido ido_Latn ile_Latn ina_Latn jbo jbo_Cyrl jbo_Latn ldn_Latn lfn_Cyrl lfn_Latn nov_Latn qya qya_Latn sjn_Latn tlh_Latn tzl tzl_Latn vol_Latn,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-art-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/art-eng/README.md","art-eng, source group: Artificial languages, target group: English NMT model.",False
opus-mt-ase-de,Helsinki-NLP/opus-mt-ase-de,ase,de,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ase-de, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ase-de/README.md",opus-mt-ase-de NMT model.,False
opus-mt-ase-en,Helsinki-NLP/opus-mt-ase-en,ase,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ase-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ase-en/README.md",opus-mt-ase-en NMT model.,False
opus-mt-ase-es,Helsinki-NLP/opus-mt-ase-es,ase,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ase-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ase-es/README.md",opus-mt-ase-es NMT model.,False
opus-mt-ase-fr,Helsinki-NLP/opus-mt-ase-fr,ase,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ase-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ase-fr/README.md",opus-mt-ase-fr NMT model.,False
opus-mt-ase-sv,Helsinki-NLP/opus-mt-ase-sv,ase,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ase-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ase-sv/README.md",opus-mt-ase-sv NMT model.,False
opus-mt-az-en,Helsinki-NLP/opus-mt-az-en,aze_Latn,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-az-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/aze-eng/README.md","aze-eng, source group: Azerbaijani, target group: English NMT model.",False
opus-mt-az-es,Helsinki-NLP/opus-mt-az-es,aze_Latn,spa,,,"https://huggingface.co/Helsinki-NLP/opus-mt-az-es, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/aze-spa/README.md","aze-spa, source group: Azerbaijani, target group: Spanish NMT model.",False
opus-mt-az-tr,Helsinki-NLP/opus-mt-az-tr,aze_Latn,tur,,,"https://huggingface.co/Helsinki-NLP/opus-mt-az-tr, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/aze-tur/README.md","aze-tur, source group: Azerbaijani, target group: Turkish NMT model.",False
opus-mt-bat-en,Helsinki-NLP/opus-mt-bat-en,lav lit ltg prg_Latn sgs,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bat-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/bat-eng/README.md","bat-eng, source group: Baltic languages, target group: English NMT model.",False
opus-mt-bcl-de,Helsinki-NLP/opus-mt-bcl-de,bcl,de,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bcl-de, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bcl-de/README.md",opus-mt-bcl-de NMT model.,False
opus-mt-bcl-en,Helsinki-NLP/opus-mt-bcl-en,bcl,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bcl-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bcl-en/README.md",opus-mt-bcl-en NMT model.,False
opus-mt-bcl-es,Helsinki-NLP/opus-mt-bcl-es,bcl,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bcl-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bcl-es/README.md",opus-mt-bcl-es NMT model.,False
opus-mt-bcl-fi,Helsinki-NLP/opus-mt-bcl-fi,bcl,fi,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bcl-fi, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bcl-fi/README.md",opus-mt-bcl-fi NMT model.,False
opus-mt-bcl-fr,Helsinki-NLP/opus-mt-bcl-fr,bcl,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bcl-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bcl-fr/README.md",opus-mt-bcl-fr NMT model.,False
opus-mt-bcl-sv,Helsinki-NLP/opus-mt-bcl-sv,bcl,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bcl-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bcl-sv/README.md",opus-mt-bcl-sv NMT model.,False
opus-mt-be-es,Helsinki-NLP/opus-mt-be-es,bel bel_Latn,spa,,,"https://huggingface.co/Helsinki-NLP/opus-mt-be-es, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/bel-spa/README.md","bel-spa, source group: Belarusian, target group: Spanish NMT model.",False
opus-mt-bem-en,Helsinki-NLP/opus-mt-bem-en,bem,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bem-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bem-en/README.md",opus-mt-bem-en NMT model.,False
opus-mt-bem-es,Helsinki-NLP/opus-mt-bem-es,bem,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bem-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bem-es/README.md",opus-mt-bem-es NMT model.,False
opus-mt-bem-fi,Helsinki-NLP/opus-mt-bem-fi,bem,fi,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bem-fi, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bem-fi/README.md",opus-mt-bem-fi NMT model.,False
opus-mt-bem-fr,Helsinki-NLP/opus-mt-bem-fr,bem,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bem-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bem-fr/README.md",opus-mt-bem-fr NMT model.,False
opus-mt-bem-sv,Helsinki-NLP/opus-mt-bem-sv,bem,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bem-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bem-sv/README.md",opus-mt-bem-sv NMT model.,False
opus-mt-ber-en,Helsinki-NLP/opus-mt-ber-en,ber,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ber-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ber-en/README.md",opus-mt-ber-en NMT model.,False
opus-mt-ber-es,Helsinki-NLP/opus-mt-ber-es,ber,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ber-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ber-es/README.md",opus-mt-ber-es NMT model.,False
opus-mt-ber-fr,Helsinki-NLP/opus-mt-ber-fr,ber,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ber-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ber-fr/README.md",opus-mt-ber-fr NMT model.,False
opus-mt-bg-de,Helsinki-NLP/opus-mt-bg-de,bul,deu,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bg-de, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/bul-deu/README.md","bul-deu, source group: Bulgarian, target group: German NMT model.",False
opus-mt-bg-en,Helsinki-NLP/opus-mt-bg-en,bg,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bg-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bg-en/README.md",opus-mt-bg-en NMT model.,False
opus-mt-bg-eo,Helsinki-NLP/opus-mt-bg-eo,bul,epo,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bg-eo, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/bul-epo/README.md","bul-epo, source group: Bulgarian, target group: Esperanto NMT model.",False
opus-mt-bg-es,Helsinki-NLP/opus-mt-bg-es,bul,spa,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bg-es, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/bul-spa/README.md","bul-spa, source group: Bulgarian, target group: Spanish NMT model.",False
opus-mt-bg-fi,Helsinki-NLP/opus-mt-bg-fi,bg,fi,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bg-fi, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bg-fi/README.md",opus-mt-bg-fi NMT model.,False
opus-mt-bg-fr,Helsinki-NLP/opus-mt-bg-fr,bul,fra,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bg-fr, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/bul-fra/README.md","bul-fra, source group: Bulgarian, target group: French NMT model.",False
opus-mt-bg-it,Helsinki-NLP/opus-mt-bg-it,bul,ita,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bg-it, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/bul-ita/README.md","bul-ita, source group: Bulgarian, target group: Italian NMT model.",False
opus-mt-bg-ru,Helsinki-NLP/opus-mt-bg-ru,bul bul_Latn,rus,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bg-ru, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/bul-rus/README.md","bul-rus, source group: Bulgarian, target group: Russian NMT model.",False
opus-mt-bg-sv,Helsinki-NLP/opus-mt-bg-sv,bg,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bg-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bg-sv/README.md",opus-mt-bg-sv NMT model.,False
opus-mt-bg-tr,Helsinki-NLP/opus-mt-bg-tr,bul bul_Latn,tur,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bg-tr, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/bul-tur/README.md","bul-tur, source group: Bulgarian, target group: Turkish NMT model.",False
opus-mt-bg-uk,Helsinki-NLP/opus-mt-bg-uk,bul,ukr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bg-uk, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/bul-ukr/README.md","bul-ukr, source group: Bulgarian, target group: Ukrainian NMT model.",False
opus-mt-bi-en,Helsinki-NLP/opus-mt-bi-en,bi,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bi-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bi-en/README.md",opus-mt-bi-en NMT model.,False
opus-mt-bi-es,Helsinki-NLP/opus-mt-bi-es,bi,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bi-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bi-es/README.md",opus-mt-bi-es NMT model.,False
opus-mt-bi-fr,Helsinki-NLP/opus-mt-bi-fr,bi,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bi-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bi-fr/README.md",opus-mt-bi-fr NMT model.,False
opus-mt-bi-sv,Helsinki-NLP/opus-mt-bi-sv,bi,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bi-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bi-sv/README.md",opus-mt-bi-sv NMT model.,False
opus-mt-bn-en,Helsinki-NLP/opus-mt-bn-en,ben,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bn-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ben-eng/README.md","ben-eng, source group: Bengali, target group: English NMT model.",False
opus-mt-bnt-en,Helsinki-NLP/opus-mt-bnt-en,kin lin lug nya run sna swh toi_Latn tso umb xho zul,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bnt-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/bnt-eng/README.md","bnt-eng, source group: Bantu languages, target group: English NMT model.",False
opus-mt-bzs-en,Helsinki-NLP/opus-mt-bzs-en,bzs,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bzs-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bzs-en/README.md",opus-mt-bzs-en NMT model.,False
opus-mt-bzs-es,Helsinki-NLP/opus-mt-bzs-es,bzs,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bzs-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bzs-es/README.md",opus-mt-bzs-es NMT model.,False
opus-mt-bzs-fi,Helsinki-NLP/opus-mt-bzs-fi,bzs,fi,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bzs-fi, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bzs-fi/README.md",opus-mt-bzs-fi NMT model.,False
opus-mt-bzs-fr,Helsinki-NLP/opus-mt-bzs-fr,bzs,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bzs-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bzs-fr/README.md",opus-mt-bzs-fr NMT model.,False
opus-mt-bzs-sv,Helsinki-NLP/opus-mt-bzs-sv,bzs,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-bzs-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/bzs-sv/README.md",opus-mt-bzs-sv NMT model.,False
opus-mt-ca-de,Helsinki-NLP/opus-mt-ca-de,cat,deu,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ca-de, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/cat-deu/README.md","cat-deu, source group: Catalan, target group: German NMT model.",False
opus-mt-ca-en,Helsinki-NLP/opus-mt-ca-en,ca,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ca-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ca-en/README.md",opus-mt-ca-en NMT model.,False
opus-mt-ca-es,Helsinki-NLP/opus-mt-ca-es,ca,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ca-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ca-es/README.md",opus-mt-ca-es NMT model.,False
opus-mt-ca-fr,Helsinki-NLP/opus-mt-ca-fr,cat,fra,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ca-fr, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/cat-fra/README.md","cat-fra, source group: Catalan, target group: French NMT model.",False
opus-mt-ca-it,Helsinki-NLP/opus-mt-ca-it,cat,ita,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ca-it, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/cat-ita/README.md","cat-ita, source group: Catalan, target group: Italian NMT model.",False
opus-mt-ca-nl,Helsinki-NLP/opus-mt-ca-nl,cat,nld,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ca-nl, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/cat-nld/README.md","cat-nld, source group: Catalan, target group: Dutch NMT model.",False
opus-mt-ca-pt,Helsinki-NLP/opus-mt-ca-pt,cat,por,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ca-pt, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/cat-por/README.md","cat-por, source group: Catalan, target group: Portuguese NMT model.",False
opus-mt-ca-uk,Helsinki-NLP/opus-mt-ca-uk,cat,ukr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ca-uk, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/cat-ukr/README.md","cat-ukr, source group: Catalan, target group: Ukrainian NMT model.",False
opus-mt-cau-en,Helsinki-NLP/opus-mt-cau-en,abk ady che kat,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-cau-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/cau-eng/README.md","cau-eng, source group: Caucasian languages, target group: English NMT model.",False
opus-mt-ccs-en,Helsinki-NLP/opus-mt-ccs-en,kat,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ccs-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ccs-eng/README.md","ccs-eng, source group: South Caucasian languages, target group: English NMT model.",False
opus-mt-ceb-en,Helsinki-NLP/opus-mt-ceb-en,ceb,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ceb-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/ceb-eng/README.md","ceb-eng, source group: Cebuano, target group: English NMT model.",False
opus-mt-ceb-es,Helsinki-NLP/opus-mt-ceb-es,ceb,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ceb-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ceb-es/README.md",opus-mt-ceb-es NMT model.,False
opus-mt-ceb-fi,Helsinki-NLP/opus-mt-ceb-fi,ceb,fi,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ceb-fi, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ceb-fi/README.md",opus-mt-ceb-fi NMT model.,False
opus-mt-ceb-fr,Helsinki-NLP/opus-mt-ceb-fr,ceb,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ceb-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ceb-fr/README.md",opus-mt-ceb-fr NMT model.,False
opus-mt-ceb-sv,Helsinki-NLP/opus-mt-ceb-sv,ceb,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ceb-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/ceb-sv/README.md",opus-mt-ceb-sv NMT model.,False
opus-mt-cel-en,Helsinki-NLP/opus-mt-cel-en,bre cor cym gla gle glv,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-cel-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/cel-eng/README.md","cel-eng, source group: Celtic languages, target group: English NMT model.",False
